,pruid,prename,prfname,week_end,product_name,numtotal_atleast1dose,numtotal_partially,numtotal_fully
0,1,Korea,Canada,2020-12-19,Not reported,0.0,0,0.0
1,1,Korea,Canada,2020-12-19,Pfizer-BioNTech,12360.0,12360,0.0
2,1,Korea,Canada,2020-12-19,Unknown,2.0,2,0.0
3,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Not reported,0.0,0,0.0
4,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Pfizer-BioNTech,972.0,972,0.0
5,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-19,Unknown,0.0,0,0.0
6,12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Not reported,0.0,0,0.0
7,12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Pfizer-BioNTech,1092.0,1092,0.0
8,12,Nova Scotia,Nouvelle-Écosse,2020-12-19,Unknown,0.0,0,0.0
9,24,Quebec,Québec,2020-12-19,Not reported,0.0,0,0.0
10,24,Quebec,Québec,2020-12-19,Pfizer-BioNTech,4728.0,4728,0.0
11,24,Quebec,Québec,2020-12-19,Unknown,0.0,0,0.0
12,46,Manitoba,Manitoba,2020-12-19,Not reported,0.0,0,0.0
13,46,Manitoba,Manitoba,2020-12-19,Pfizer-BioNTech,894.0,894,0.0
14,46,Manitoba,Manitoba,2020-12-19,Unknown,0.0,0,0.0
15,47,Saskatchewan,Saskatchewan,2020-12-19,Not reported,0.0,0,0.0
16,47,Saskatchewan,Saskatchewan,2020-12-19,Pfizer-BioNTech,1042.0,1042,0.0
17,47,Saskatchewan,Saskatchewan,2020-12-19,Unknown,0.0,0,0.0
18,59,British Columbia,Colombie-Britannique,2020-12-19,Not reported,0.0,0,0.0
19,59,British Columbia,Colombie-Britannique,2020-12-19,Pfizer-BioNTech,3632.0,3632,0.0
20,59,British Columbia,Colombie-Britannique,2020-12-19,Unknown,2.0,2,0.0
21,60,Yukon,Yukon,2020-12-19,Not reported,0.0,0,0.0
22,60,Yukon,Yukon,2020-12-19,Pfizer-BioNTech,0.0,0,0.0
23,60,Yukon,Yukon,2020-12-19,Unknown,0.0,0,0.0
24,61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Not reported,0.0,0,0.0
25,61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Pfizer-BioNTech,0.0,0,0.0
26,61,Northwest Territories,Territoires du Nord-Ouest,2020-12-19,Unknown,0.0,0,0.0
27,62,Nunavut,Nunavut,2020-12-19,Not reported,0.0,0,0.0
28,62,Nunavut,Nunavut,2020-12-19,Pfizer-BioNTech,0.0,0,0.0
29,62,Nunavut,Nunavut,2020-12-19,Unknown,0.0,0,0.0
30,1,Korea,Canada,2020-12-26,Not reported,0.0,0,0.0
31,1,Korea,Canada,2020-12-26,Pfizer-BioNTech,46153.0,46153,0.0
32,1,Korea,Canada,2020-12-26,Unknown,3.0,3,0.0
33,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Not reported,0.0,0,0.0
34,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Pfizer-BioNTech,1785.0,1785,0.0
35,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-12-26,Unknown,0.0,0,0.0
36,11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Not reported,0.0,0,0.0
37,11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Pfizer-BioNTech,1146.0,1146,0.0
38,11,Prince Edward Island,Île-du-Prince-Édouard,2020-12-26,Unknown,0.0,0,0.0
39,12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Not reported,0.0,0,0.0
40,12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Pfizer-BioNTech,2218.0,2218,0.0
41,12,Nova Scotia,Nouvelle-Écosse,2020-12-26,Unknown,0.0,0,0.0
42,13,New Brunswick,Nouveau-Brunswick,2020-12-26,Not reported,0.0,0,0.0
43,13,New Brunswick,Nouveau-Brunswick,2020-12-26,Pfizer-BioNTech,2606.0,2606,0.0
44,13,New Brunswick,Nouveau-Brunswick,2020-12-26,Unknown,0.0,0,0.0
45,24,Quebec,Québec,2020-12-26,Not reported,0.0,0,0.0
46,24,Quebec,Québec,2020-12-26,Pfizer-BioNTech,17216.0,17216,0.0
47,24,Quebec,Québec,2020-12-26,Unknown,0.0,0,0.0
48,46,Manitoba,Manitoba,2020-12-26,Not reported,0.0,0,0.0
49,46,Manitoba,Manitoba,2020-12-26,Pfizer-BioNTech,2177.0,2177,0.0
50,46,Manitoba,Manitoba,2020-12-26,Unknown,0.0,0,0.0
51,47,Saskatchewan,Saskatchewan,2020-12-26,Not reported,0.0,0,0.0
52,47,Saskatchewan,Saskatchewan,2020-12-26,Pfizer-BioNTech,1769.0,1769,0.0
53,47,Saskatchewan,Saskatchewan,2020-12-26,Unknown,0.0,0,0.0
54,48,Alberta,Alberta,2020-12-26,Not reported,0.0,0,0.0
55,48,Alberta,Alberta,2020-12-26,Pfizer-BioNTech,4792.0,4792,0.0
56,48,Alberta,Alberta,2020-12-26,Unknown,0.0,0,0.0
57,59,British Columbia,Colombie-Britannique,2020-12-26,Not reported,0.0,0,0.0
58,59,British Columbia,Colombie-Britannique,2020-12-26,Pfizer-BioNTech,12444.0,12444,0.0
59,59,British Columbia,Colombie-Britannique,2020-12-26,Unknown,3.0,3,0.0
60,60,Yukon,Yukon,2020-12-26,Not reported,0.0,0,0.0
61,60,Yukon,Yukon,2020-12-26,Pfizer-BioNTech,0.0,0,0.0
62,60,Yukon,Yukon,2020-12-26,Unknown,0.0,0,0.0
63,61,Northwest Territories,Territoires du Nord-Ouest,2020-12-26,Not reported,0.0,0,0.0
64,61,Northwest Territories,Territoires du Nord-Ouest,2020-12-26,Pfizer-BioNTech,0.0,0,0.0
65,61,Northwest Territories,Territoires du Nord-Ouest,2020-12-26,Unknown,0.0,0,0.0
66,62,Nunavut,Nunavut,2020-12-26,Not reported,0.0,0,0.0
67,62,Nunavut,Nunavut,2020-12-26,Pfizer-BioNTech,0.0,0,0.0
68,62,Nunavut,Nunavut,2020-12-26,Unknown,0.0,0,0.0
69,1,Korea,Canada,2021-01-02,Moderna,1778.0,1778,0.0
70,1,Korea,Canada,2021-01-02,Not reported,13383.0,13383,0.0
71,1,Korea,Canada,2021-01-02,Pfizer-BioNTech,67350.0,67350,0.0
73,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-02,Moderna,0.0,0,0.0
74,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-02,Not reported,0.0,0,0.0
75,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2021-01-02,Pfizer-BioNTech,1785.0,1785,0.0
